Date,D_ANDO,D_IMHA,D_SUDK,D_YENJ,D_GNWE,D_GMBH,D_YEOC,D_HAPC,D_NAMG,D_MIRY
2017-09-01,28.63,13.29,0.4,10.4,0.68,0.65,0.25,5,33.55,1.61
2017-09-02,29.18,9.49,0.4,7.92,0.68,0.61,0.24,5,21.77,1.62
2017-09-03,29.21,9.51,0.23,5.15,0.67,0.61,0.24,5,21.6,1.57
2017-09-04,29.2,9.51,0.12,5.58,0.68,0.62,0.25,5.02,21.7,1.58
2017-09-05,29.23,9.51,0.1,5.45,0.68,0.64,0.26,3.9,22.8,1.59
2017-09-06,29.21,9.32,0.1,4.98,0.68,0.64,0.26,2.02,24.64,1.55
2017-09-07,29.22,9.49,0.1,3.98,0.69,0.64,0.26,2.01,24.75,1.53
2017-09-08,31.32,12.69,0.21,3.58,0.68,0.64,0.26,1.99,24.83,1.57
2017-09-09,31.3,13.3,0.28,3.58,0.68,0.64,0.24,2,24.75,1.52
2017-09-10,31.34,13.31,0.21,3.58,0.68,0.64,0.24,2,24.66,1.49
2017-09-11,26.21,11.88,0.1,7.17,0.68,0.64,0.24,1.99,30.3,1.39
2017-09-12,10.87,12.83,0.1,16.97,0.67,0.64,0.26,2,39.78,1.39
2017-09-13,9.91,13.3,0.1,16.63,0.66,0.64,0.26,2,39.75,1.46
2017-09-14,9.92,13.28,0.1,12.92,0.67,0.64,0.26,2,39.73,1.43
2017-09-15,17.4,13.29,0.1,6.83,0.68,0.65,0.25,2.01,39.64,1.38
2017-09-16,17.38,13.32,0.1,5.99,0.67,0.65,0.24,1.99,39.68,1.36
2017-09-17,17.38,13.34,0.1,4.13,0.72,0.65,0.24,2.01,39.51,1.34
2017-09-18,17.4,13.28,0.1,2.79,0.67,0.63,0.24,2.02,39.72,1.3
2017-09-19,29.7,13.29,0.1,3.66,0.67,0.62,0.26,2.3,27.28,1.35
2017-09-20,29.7,13.29,0.1,4.01,0.68,0.62,0.26,2.71,22.8,1.31
2017-09-21,29.52,13.29,0.1,3.87,0.69,0.62,0.26,2.7,22.8,1.23
2017-09-22,29.69,13.28,0.1,2.26,0.67,0.62,0.25,2.69,22.87,1.21
2017-09-23,29.78,13.28,0.1,1.5,0.69,0.62,0.24,2.69,22.75,1.19
2017-09-24,29.71,13.3,0.1,1.51,0.67,0.62,0.24,2.7,22.78,1.16
2017-09-25,27.76,13.3,0.1,4.05,0.67,0.62,0.24,2.88,22.6,1.18
2017-09-26,25.73,13.28,0.1,3.67,0.67,0.62,0.26,2.9,22.61,1.15
2017-09-27,24.59,12.18,0.1,3.86,0.68,0.62,0.27,2.9,22.57,0.92
2017-09-28,18.96,9.49,0.1,4.46,0.67,0.62,0.27,2.91,22.62,0.99
2017-09-29,27.7,13.29,0.1,3.58,0.67,0.57,0.24,2.89,22.74,1.01
2017-09-30,27.8,13.28,0.1,3.58,0.7,0.44,0.2,2.01,23.5,0.74
2017-10-01,13.32,12.81,0.1,3.23,0.45,0.44,0.2,2.01,27.37,0.87
2017-10-02,15.87,10.23,0.1,4.91,0.45,0.44,0.2,2.01,27.47,0.88
2017-10-03,17.39,8.67,0.1,6.99,0.45,0.44,0.2,2.02,27.65,1
2017-10-04,13.44,8.7,0.1,7.43,0.45,0.44,0.2,2,27.42,1
2017-10-05,18.4,8.69,0.1,3.09,0.45,0.44,0.2,2.02,27.4,0.84
2017-10-06,18.4,8.7,0.1,4.55,0.45,0.44,0.2,2.01,27.41,0.86
2017-10-07,18.41,8.9,0.1,5.98,0.45,0.44,0.2,1.99,27.22,0.83
2017-10-08,18.87,8.69,0.1,3.32,0.45,0.44,0.2,2.16,27.4,0.88
2017-10-09,18.38,8.71,0.1,1.62,0.45,0.44,0.2,1.99,27.43,0.86
2017-10-10,19.35,8.72,0.1,2.98,0.45,0.44,0.21,2.7,26.79,0.9
2017-10-11,19.43,8.69,0.1,4.61,0.45,0.44,0.23,2.71,26.85,0.88
2017-10-12,19.41,8.68,0.1,7.17,0.45,0.43,0.23,3.52,27.44,0.87
2017-10-13,12.98,8.69,0.1,8.43,0.45,0.43,0.24,3.5,27.32,0.88
2017-10-14,12.89,8.71,0.1,8.41,0.45,0.43,0.23,3.5,27.37,0.87
2017-10-15,2.91,18.82,0.1,8.39,0.45,0.43,0.23,3.51,27.26,0.86
2017-10-16,16.83,4.8,0.1,8.42,0.46,0.43,0.23,3.5,27.24,0.87
